2026-07-14 09:37: Experiment log path in: C:\Users\student\paperTest\DHFORMER\experiments\METRLA\20260714093719
2026-07-14 11:33: Train Epoch 5: 60/374 Loss: 4.750872
2026-07-14 11:34: Train Epoch 5: 80/374 Loss: 6.075514
2026-07-14 11:36: Train Epoch 5: 100/374 Loss: 5.653635
2026-07-14 11:37: Train Epoch 5: 120/374 Loss: 5.543785
2026-07-14 11:38: Train Epoch 5: 140/374 Loss: 5.012592
2026-07-14 11:40: Train Epoch 5: 160/374 Loss: 4.648311
2026-07-14 11:41: Train Epoch 5: 180/374 Loss: 5.889307
2026-07-14 11:42: Train Epoch 5: 200/374 Loss: 4.432694
2026-07-14 11:44: Train Epoch 5: 220/374 Loss: 4.613711
2026-07-14 11:45: Train Epoch 5: 240/374 Loss: 5.148076
2026-07-14 11:46: Train Epoch 5: 260/374 Loss: 4.726863
2026-07-14 11:48: Train Epoch 5: 280/374 Loss: 4.234245
2026-07-14 11:49: Train Epoch 5: 300/374 Loss: 4.822415
2026-07-14 11:51: Train Epoch 5: 320/374 Loss: 4.988287
2026-07-14 11:52: Train Epoch 5: 340/374 Loss: 4.619642
2026-07-14 11:53: Train Epoch 5: 360/374 Loss: 4.018970
2026-07-14 11:54: **********Train Epoch 5: averaged Loss: 4.716897, tf_ratio: 1.000000
2026-07-14 11:56: **********Val Epoch 5: average Loss: 4.813258
2026-07-14 11:56: Train Epoch 6: 0/374 Loss: 4.573830
2026-07-14 11:57: Train Epoch 6: 20/374 Loss: 5.568299
2026-07-14 11:59: Train Epoch 6: 40/374 Loss: 5.184420
2026-07-14 12:00: Train Epoch 6: 60/374 Loss: 5.212398
2026-07-14 12:02: Train Epoch 6: 80/374 Loss: 3.339989
2026-07-14 12:03: Train Epoch 6: 100/374 Loss: 3.847427
2026-07-14 12:05: Train Epoch 6: 120/374 Loss: 3.909914
2026-07-14 12:06: Train Epoch 6: 140/374 Loss: 3.675726
