Model,MAE,RMSE
LSTM,0.046072297,0.082754076
GRU,0.049698506,0.08527956
Transformer,0.048216455,0.07932329
MultiStepLSTM,0.047531378,0.08342419
MultiStepTransformer,0.047443315,0.08264968
GCN-LSTM,0.048825443,0.0859522
STGCN,0.047377832,0.08479184
AGC-STGCN,0.020240324,0.036491487
MultiScaleSTGCN,0.019902945,0.033980995
