Model,MAE,RMSE
LSTM,0.033556078,0.058868036
STGCN,0.046582147,0.07458098
AdaptiveSTGCN,0.015783872,0.02957591
AdaptiveMultiScaleSTGCN,0.018119164,0.02719812
PhysicsAdaptiveSTGCN,0.017989676,0.030324038
GRU,0.03580361,0.061460163
Transformer,0.03324772,0.05365651
MultiStepLSTM,0.03482904,0.060533907
MultiStepTransformer,0.03709421,0.062745236
AGC-STGCN,0.0140981935,0.025129365
MultiScaleSTGCN,0.014067864,0.024763389
GCN,0.034557205,0.061821017
