2026-07-12 17:22: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712172221
2026-07-12 19:05: Train Epoch 5: 60/374 Loss: 8.042481
2026-07-12 19:08: Train Epoch 5: 80/374 Loss: 6.356587
2026-07-12 19:11: Train Epoch 5: 100/374 Loss: 8.359207
2026-07-12 19:15: Train Epoch 5: 120/374 Loss: 4.790832
2026-07-12 19:19: Train Epoch 5: 140/374 Loss: 4.271145
2026-07-12 19:23: Train Epoch 5: 160/374 Loss: 3.622502
2026-07-12 19:26: Train Epoch 5: 180/374 Loss: 4.508385
2026-07-12 19:30: Train Epoch 5: 200/374 Loss: 3.994596
2026-07-12 19:33: Train Epoch 5: 220/374 Loss: 5.302948
2026-07-12 19:41: Train Epoch 5: 240/374 Loss: 5.111670
2026-07-12 19:44: Train Epoch 5: 260/374 Loss: 4.910986
2026-07-12 19:46: Train Epoch 5: 280/374 Loss: 4.600031
2026-07-12 19:49: Train Epoch 5: 300/374 Loss: 5.344212
2026-07-12 19:51: Train Epoch 5: 320/374 Loss: 5.675139
2026-07-12 19:53: Train Epoch 5: 340/374 Loss: 6.502172
2026-07-12 19:56: Train Epoch 5: 360/374 Loss: 6.652141
2026-07-12 19:57: **********Train Epoch 5: averaged Loss: 5.723452, tf_ratio: 1.000000
2026-07-12 19:59: **********Val Epoch 5: average Loss: 5.371912
2026-07-12 19:59: Train Epoch 6: 0/374 Loss: 4.515763
2026-07-12 20:03: Train Epoch 6: 20/374 Loss: 4.965671
2026-07-12 20:07: Train Epoch 6: 40/374 Loss: 4.784122
2026-07-12 20:10: Train Epoch 6: 60/374 Loss: 6.103631
2026-07-12 20:14: Train Epoch 6: 80/374 Loss: 6.182994
2026-07-12 20:18: Train Epoch 6: 100/374 Loss: 4.025483
2026-07-12 20:23: Train Epoch 6: 120/374 Loss: 5.726381
2026-07-12 20:27: Train Epoch 6: 140/374 Loss: 4.559431
2026-07-12 20:30: Train Epoch 6: 160/374 Loss: 3.920014
2026-07-12 20:34: Train Epoch 6: 180/374 Loss: 6.443865
2026-07-12 20:38: Train Epoch 6: 200/374 Loss: 4.921176
2026-07-12 20:42: Train Epoch 6: 220/374 Loss: 4.867555
2026-07-12 20:46: Train Epoch 6: 240/374 Loss: 4.662472
2026-07-12 20:49: Train Epoch 6: 260/374 Loss: 4.951947
2026-07-12 21:01: Train Epoch 6: 280/374 Loss: 5.362617
2026-07-12 21:04: Train Epoch 6: 300/374 Loss: 9.898130
2026-07-12 21:06: Train Epoch 6: 320/374 Loss: 8.196355
2026-07-12 21:09: Train Epoch 6: 340/374 Loss: 8.682496
2026-07-12 21:11: Train Epoch 6: 360/374 Loss: 8.431374
2026-07-12 21:13: **********Train Epoch 6: averaged Loss: 6.160918, tf_ratio: 1.000000
2026-07-12 21:15: **********Val Epoch 6: average Loss: 9.443120
2026-07-12 21:15: Train Epoch 7: 0/374 Loss: 9.882251
2026-07-12 21:17: Train Epoch 7: 20/374 Loss: 10.789145
2026-07-12 21:20: Train Epoch 7: 40/374 Loss: 8.939528
