2026-07-12 21:55: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712215506
2026-07-12 23:12: Train Epoch 5: 40/374 Loss: 4.612768
2026-07-12 23:13: Train Epoch 5: 60/374 Loss: 3.713566
2026-07-12 23:14: Train Epoch 5: 80/374 Loss: 4.025373
2026-07-12 23:14: Train Epoch 5: 100/374 Loss: 4.572933
2026-07-12 23:15: Train Epoch 5: 120/374 Loss: 4.320468
2026-07-12 23:16: Train Epoch 5: 140/374 Loss: 3.825401
2026-07-12 23:17: Train Epoch 5: 160/374 Loss: 4.004228
2026-07-12 23:18: Train Epoch 5: 180/374 Loss: 4.579556
2026-07-12 23:19: Train Epoch 5: 200/374 Loss: 4.647645
2026-07-12 23:20: Train Epoch 5: 220/374 Loss: 4.107470
2026-07-12 23:21: Train Epoch 5: 240/374 Loss: 4.608780
2026-07-12 23:22: Train Epoch 5: 260/374 Loss: 4.669959
2026-07-12 23:23: Train Epoch 5: 280/374 Loss: 3.773851
2026-07-12 23:24: Train Epoch 5: 300/374 Loss: 4.059005
2026-07-12 23:25: Train Epoch 5: 320/374 Loss: 4.171747
2026-07-12 23:26: Train Epoch 5: 340/374 Loss: 5.189867
2026-07-12 23:27: Train Epoch 5: 360/374 Loss: 5.834217
2026-07-12 23:27: **********Train Epoch 5: averaged Loss: 4.636068, tf_ratio: 1.000000
2026-07-12 23:28: **********Val Epoch 5: average Loss: 4.826981
2026-07-12 23:28: Train Epoch 6: 0/374 Loss: 5.393323
2026-07-12 23:29: Train Epoch 6: 20/374 Loss: 4.520704
2026-07-12 23:30: Train Epoch 6: 40/374 Loss: 3.831375
2026-07-12 23:31: Train Epoch 6: 60/374 Loss: 5.053925
2026-07-12 23:32: Train Epoch 6: 80/374 Loss: 3.679250
2026-07-12 23:33: Train Epoch 6: 100/374 Loss: 4.015252
2026-07-12 23:34: Train Epoch 6: 120/374 Loss: 4.009696
2026-07-12 23:35: Train Epoch 6: 140/374 Loss: 4.770468
2026-07-12 23:36: Train Epoch 6: 160/374 Loss: 5.029082
2026-07-12 23:37: Train Epoch 6: 180/374 Loss: 5.203834
2026-07-12 23:38: Train Epoch 6: 200/374 Loss: 4.543702
2026-07-12 23:38: Train Epoch 6: 220/374 Loss: 3.589054
2026-07-12 23:39: Train Epoch 6: 240/374 Loss: 4.625593
2026-07-12 23:40: Train Epoch 6: 260/374 Loss: 4.161149
2026-07-12 23:41: Train Epoch 6: 280/374 Loss: 4.451672
2026-07-12 23:42: Train Epoch 6: 300/374 Loss: 4.022935
2026-07-12 23:43: Train Epoch 6: 320/374 Loss: 3.382603
2026-07-12 23:44: Train Epoch 6: 340/374 Loss: 5.267553
2026-07-12 23:45: Train Epoch 6: 360/374 Loss: 3.964422
2026-07-12 23:46: **********Train Epoch 6: averaged Loss: 4.554572, tf_ratio: 1.000000
